Display name in Primo API,How users may refer to it,Library Code
Arnold Arboretum Horticultural Library,the Arboretum,AJP
Baker Business,"HBS, Baker",BAK
Cabot Science,Cabot,CAB
Countway Medicine,"Countway, the Med School",MED
Ernst Mayr Library,MCZ,MCZ
Fine Arts Library,Fine Arts,FAL
Frances Loeb Library,"Design, Loeb",DES
Fung Library,Fung,FUN
Gutman Education,"Gutman, Ed School",GUT
Harvard Divinity School Library,"Divinity, HDS",DIV
Harvard Kennedy School,"HKS, Kennedy",KSG
Harvard Law School Library,"Law, HLS",LAW
Harvard Yenching Library,Yenching,HYL
John G. Wolbach Library,"Wolbach, SAO",WOL
Lamont Library,Lamont,LAM
Loeb Music Library,Music,MUS
Science and Engineering Complex Library,SEC,SEC
Tozzer,Tozzer,TOZ
Widener Library,Widener,WID
